commodities,unit,minimum,maximum,average

Tomato Big(Nepali),KG,Rs 100.00,Rs 110.00,Rs 105.00
Tomato Big(Indian),KG,Rs 100.00,Rs 110.00,Rs 106.67
Tomato Small(Local),KG,Rs 70.00,Rs 80.00,Rs 75.00
Tomato Small(Tunnel),KG,Rs 85.00,Rs 95.00,Rs 90.00
Tomato Small(Indian),KG,Rs 70.00,Rs 80.00,Rs 75.00
Potato Red,KG,Rs 55.00,Rs 60.00,Rs 58.00
Potato Red(Indian),KG,Rs 32.00,Rs 36.00,Rs 34.00
Potato Red(Mude),KG,Rs 45.00,Rs 48.00,Rs 46.50
Potato White,KG,Rs 48.00,Rs 50.00,Rs 49.00
Onion Dry (Indian),KG,Rs 48.00,Rs 50.00,Rs 49.20
Carrot(Local),KG,Rs 150.00,Rs 180.00,Rs 170.00
Carrot(Terai),KG,Rs 110.00,Rs 120.00,Rs 116.67
Cabbage(Local),KG,Rs 20.00,Rs 30.00,Rs 26.00
Cauli Local,KG,Rs 60.00,Rs 70.00,Rs 64.00
Cauli Local(Jyapu),KG,Rs 90.00,Rs 100.00,Rs 96.67
Raddish Red,KG,Rs 50.00,Rs 60.00,Rs 56.67
Raddish White(Local),KG,Rs 30.00,Rs 40.00,Rs 35.00
Raddish White(Hybrid),KG,Rs 50.00,Rs 60.00,Rs 56.67
Brinjal Long,KG,Rs 50.00,Rs 60.00,Rs 56.67
Brinjal Round,KG,Rs 50.00,Rs 60.00,Rs 56.67
Cow pea(Long),KG,Rs 90.00,Rs 100.00,Rs 96.00
Cowpea(Short),KG,Rs 70.00,Rs 80.00,Rs 76.67
Green Peas,KG,Rs 160.00,Rs 180.00,Rs 170.00
French Bean(Local),KG,Rs 100.00,Rs 120.00,Rs 110.00
French Bean(Hybrid),KG,Rs 100.00,Rs 120.00,Rs 110.00
French Bean(Rajma),KG,Rs 70.00,Rs 80.00,Rs 76.67
Sword Bean,KG,Rs 120.00,Rs 140.00,Rs 130.00
Bitter Gourd,KG,Rs 120.00,Rs 130.00,Rs 126.00
Bottle Gourd,KG,Rs 50.00,Rs 60.00,Rs 56.67
Pointed Gourd(Local),KG,Rs 80.00,Rs 90.00,Rs 83.33
Pointed Gourd(Terai),KG,Rs 70.00,Rs 80.00,Rs 76.67
Snake Gourd,KG,Rs 50.00,Rs 60.00,Rs 53.33
Smooth Gourd,KG,Rs 80.00,Rs 90.00,Rs 86.67
Pumpkin,KG,Rs 20.00,Rs 25.00,Rs 22.50
Squash(Long),KG,Rs 40.00,Rs 50.00,Rs 46.67
Squash(Round),KG,Rs 30.00,Rs 40.00,Rs 36.67
Turnip,KG,Rs 70.00,Rs 80.00,Rs 76.67
Okara,KG,Rs 90.00,Rs 100.00,Rs 96.67
Sweet Potato,KG,Rs 40.00,Rs 50.00,Rs 46.67
Barela,KG,Rs 40.00,Rs 50.00,Rs 46.67
Arum,KG,Rs 40.00,Rs 50.00,Rs 46.67
Christophine,KG,Rs 15.00,Rs 20.00,Rs 18.33
Brd Leaf Mustard,KG,Rs 50.00,Rs 60.00,Rs 56.67
Spinach Leaf,KG,Rs 120.00,Rs 150.00,Rs 140.00
Cress Leaf,KG,Rs 120.00,Rs 150.00,Rs 140.00
Mustard Leaf,KG,Rs 50.00,Rs 60.00,Rs 56.67
Fenugreek Leaf,KG,Rs 100.00,Rs 120.00,Rs 113.33
Onion Green,KG,Rs 100.00,Rs 120.00,Rs 113.33
Bakula,KG,Rs 120.00,Rs 130.00,Rs 126.67
Yam,KG,Rs 50.00,Rs 60.00,Rs 56.67
Mushroom(Kanya),KG,Rs 180.00,Rs 200.00,Rs 192.00
Mushroom(Button),KG,Rs 300.00,Rs 320.00,Rs 312.00
Asparagus,KG,Rs 999.99,Rs 999.99,Rs 999.99
Brocauli,KG,Rs 90.00,Rs 100.00,Rs 95.00
Sugarbeet,KG,Rs 70.00,Rs 80.00,Rs 76.67
Red Cabbbage,KG,Rs 150.00,Rs 180.00,Rs 160.00
Lettuce,KG,Rs 50.00,Rs 60.00,Rs 56.67
Celery,KG,Rs 300.00,Rs 400.00,Rs 366.67
Fennel Leaf,KG,Rs 100.00,Rs 120.00,Rs 113.33
Mint,KG,Rs 500.00,Rs 600.00,Rs 566.67
Turnip A,KG,Rs 70.00,Rs 80.00,Rs 76.67
Tamarind,KG,Rs 140.00,Rs 150.00,Rs 143.33
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 96.67
Tofu,KG,Rs 90.00,Rs 100.00,Rs 96.67
Gundruk,KG,Rs 200.00,Rs 250.00,Rs 225.00
Apple(Jholey),KG,Rs 200.00,Rs 220.00,Rs 210.00
Apple(Fuji),KG,Rs 280.00,Rs 300.00,Rs 290.00
Banana,Per Dozen,Rs 90.00,Rs 100.00,Rs 95.00
Lime,KG,Rs 100.00,Rs 120.00,Rs 113.33
Pomegranate,KG,Rs 300.00,Rs 350.00,Rs 325.00
Grapes(Green),KG,Rs 250.00,Rs 300.00,Rs 283.33
Orange(Nepali),KG,Rs 70.00,Rs 80.00,Rs 76.67
Orange(Indian),KG,Rs 100.00,Rs 120.00,Rs 113.33
Water Melon(Green),KG,Rs 90.00,Rs 100.00,Rs 96.67
Sweet Orange,KG,Rs 140.00,Rs 150.00,Rs 146.67
Mandarin,KG,Rs 320.00,Rs 350.00,Rs 340.00
Pineapple,1 Pc,Rs 140.00,Rs 150.00,Rs 146.67
Cucumber(Local),KG,Rs 40.00,Rs 50.00,Rs 45.00
Cucumber(Hybrid),KG,Rs 20.00,Rs 25.00,Rs 23.33
Lemon,KG,Rs 50.00,Rs 60.00,Rs 56.67
Pear(Chinese),KG,Rs 220.00,Rs 250.00,Rs 235.00
Papaya(Nepali),KG,Rs 70.00,Rs 80.00,Rs 76.67
Papaya(Indian),KG,Rs 100.00,Rs 110.00,Rs 103.33
Guava,KG,Rs 100.00,Rs 120.00,Rs 110.00
Mombin,KG,Rs 70.00,Rs 80.00,Rs 76.67
Kiwi,KG,Rs 250.00,Rs 300.00,Rs 275.00
Avocado,KG,Rs 250.00,Rs 300.00,Rs 283.33
Amla,KG,Rs 80.00,Rs 90.00,Rs 85.00
Ginger,KG,Rs 40.00,Rs 50.00,Rs 43.00
Chilli Dry,KG,Rs 300.00,Rs 310.00,Rs 306.00
Chilli Green,KG,Rs 60.00,Rs 70.00,Rs 66.67
